"","x","y","date","dx","dy","dist","dt","R2n","abs.angle","rel.angle","id","burst","year"
"11297",671880.700798237,7255120.8660411,2010-06-05 23:16:00,-405.929193331162,404.303152734414,572.921939979151,7200,638473856.18692,2.35820136935688,0.413274246697941,"r_RG_10_061","r_RG_10_061.1","2010"
"11298",671474.771604906,7255525.16919383,2010-06-06 01:16:00,-496.165880414541,150.391494113021,518.457502973082,7200,631748023.708882,2.84728758033099,0.48908621097411,"r_RG_10_061","r_RG_10_061.1","2010"
"11299",670978.605724492,7255675.56068795,2010-06-06 03:16:00,-8.20519123401027,6.22142229322344,10.2971480778562,7200,614967430.282035,2.49284510747262,-0.354442472858372,"r_RG_10_061","r_RG_10_061.1","2010"
"11300",670970.400533258,7255681.78211024,2010-06-06 05:16:00,178.612268988858,-250.149826817214,307.371564218342,7200,614795857.278665,-0.950722041970909,2.83961815773606,"r_RG_10_061","r_RG_10_061.1","2010"
"11301",671149.012802246,7255431.63228342,2010-06-06 07:16:00,-465.615322922589,-496.835275882855,680.913298667238,7200,615507027.534088,-2.3237678806662,-1.37304583869529,"r_RG_10_061","r_RG_10_061.1","2010"
"11302",670683.397479324,7254934.79700754,2010-06-06 09:16:00,-57.3856546907919,-49.3234643507749,75.6697925188973,7200,583239896.333439,-2.4316041871781,-0.107836306511896,"r_RG_10_061","r_RG_10_061.1","2010"
"11303",670626.011824633,7254885.47354319,2010-06-06 11:16:00,18.7062196463812,-78.3898860663176,80.5909231300207,7200,579631623.785535,-1.33654663750931,1.09505754966879,"r_RG_10_061","r_RG_10_061.1","2010"
"11304",670644.718044279,7254807.08365712,2010-06-06 13:16:00,399.022245432716,85.0998721159995,407.996005598494,7200,578397135.55339,0.210122963089558,1.54666960059887,"r_RG_10_061","r_RG_10_061.1","2010"
"11305",671043.740289712,7254892.18352924,2010-06-06 15:16:00,895.486069434439,-251.85211541038,930.228352926218,7200,597021995.032338,-0.274163993031381,-0.484286956120939,"r_RG_10_061","r_RG_10_061.1","2010"
"11306",671939.226359147,7254640.33141383,2010-06-06 17:16:00,37.4511189244222,68.4681723117828,78.041507727665,7200,628730699.252825,1.07027021566989,1.34443420870127,"r_RG_10_061","r_RG_10_061.1","2010"
"11307",671976.677478071,7254708.79958614,2010-06-06 19:16:00,NA,NA,NA,7200,632080239.608328,NA,NA,"r_RG_10_061","r_RG_10_061.1","2010"
"11308",NA,NA,2010-06-06 21:16:00,NA,NA,NA,7200,NA,NA,NA,"r_RG_10_061","r_RG_10_061.1","2010"
"11309",671974.202754511,7254711.26010542,2010-06-06 23:16:00,-10.6972951622447,86.8589805001393,87.5152250600532,7200,632034632.487028,1.69333630744031,NA,"r_RG_10_061","r_RG_10_061.1","2010"
"11310",671963.505459348,7254798.11908592,2010-06-07 01:16:00,105.61974312854,10.6777699105442,106.158112779011,7200,633767483.082791,0.100754023601955,-1.59258228383835,"r_RG_10_061","r_RG_10_061.1","2010"
"11311",672069.125202477,7254808.79685584,2010-06-07 03:16:00,-513.90157320851,626.15756202396,810.042047937001,7200,638641948.938105,2.2580458121335,2.15729178853154,"r_RG_10_061","r_RG_10_061.1","2010"
"11312",671555.223629268,7255434.95441786,2010-06-07 05:16:00,-217.685467834817,-175.633915075101,279.703834494758,7200,632759836.130345,-2.46270441102971,1.56243508401638,"r_RG_10_061","r_RG_10_061.1","2010"
