x_,y_,t_
4333072.500047249,3401189.0482993987,2024-08-30T14:00:10Z
4333069.170224972,3401200.1683008154,2024-08-30T15:00:28Z
4333073.154631173,3401191.2756312946,2024-08-30T16:00:37Z
4333071.182342136,3401187.9321348085,2024-08-30T17:00:10Z
4333076.484468982,3401180.1556326686,2024-08-30T18:00:12Z
4333093.9556064485,3401319.304781873,2024-08-30T19:00:36Z
4333590.496831134,3401557.620645059,2024-08-30T20:00:19Z
4333614.068487971,3401384.079601856,2024-08-30T21:00:37Z
4333648.419262324,3401377.4932421916,2024-08-30T22:00:11Z
4333659.688250801,3401360.830436337,2024-08-30T23:00:38Z
4333657.725398758,3401354.1481997417,2024-08-31T00:00:10Z
4333888.659598766,3401653.0060287067,2024-08-31T01:00:48Z
4334065.552801574,3401669.065606907,2024-08-31T02:00:54Z
4333365.555627693,3400978.35700057,2024-08-31T03:00:23Z
4333073.817751738,3401190.164464357,2024-08-31T04:00:37Z
4333076.5072399685,3401171.2529689013,2024-08-31T05:00:13Z
4333073.814905983,3401191.277297331,2024-08-31T06:00:32Z
4333073.1773959575,3401182.3729675044,2024-08-31T07:00:11Z
4333083.084384692,3401181.285134693,2024-08-31T08:00:10Z
4333075.787191746,3401194.620794914,2024-08-31T09:00:38Z
4333073.157476772,3401190.16279832,2024-08-31T10:00:10Z
4333067.234911447,3401182.3579772534,2024-08-31T11:00:21Z
4333065.851793789,3401206.836972639,2024-08-31T12:00:37Z
4333073.151785574,3401192.388464272,2024-08-31T13:00:11Z
4333079.114186451,3401184.6136310776,2024-08-31T14:00:13Z
4333070.513531929,3401191.2689680606,2024-08-31T15:00:38Z
4333075.790037969,3401193.5079619363,2024-08-31T16:00:38Z
4333073.157476772,3401190.16279832,2024-08-31T17:00:10Z
4333071.822700397,3401195.7236314053,2024-08-31T18:00:13Z
4333132.467838203,3401234.826424457,2024-08-31T19:00:35Z
4333022.490738923,3402676.7898046356,2024-08-31T20:00:11Z
4332267.787823017,3403883.4966336307,2024-08-31T21:00:36Z
4331854.030878894,3405602.9901528102,2024-08-31T22:00:09Z
4332010.374158808,3408424.3981688046,2024-08-31T23:00:10Z
4333355.883557294,3409450.390618389,2024-09-01T00:01:06Z
4333340.047197731,3409457.026718588,2024-09-01T01:00:19Z
4333353.247079842,3409450.3837973718,2024-09-01T02:00:38Z
4333349.948564888,3409451.4881072277,2024-09-01T03:00:26Z
4333344.022325459,3409449.247101199,2024-09-01T04:00:38Z
4333365.828785058,3409428.159528909,2024-09-01T05:00:15Z
4333296.969138229,3409547.055762123,2024-09-01T06:00:37Z
4333296.972043929,3409545.9429280115,2024-09-01T07:00:11Z
4333315.45902226,3409533.749313234,2024-09-01T08:00:14Z
4333293.67070412,3409548.1601108294,2024-09-01T09:00:38Z
4333296.974949627,3409544.8300938937,2024-09-01T10:00:11Z
4333283.090183993,3409561.4869822436,2024-09-01T11:00:14Z
4333296.9633268295,3409549.2814303436,2024-09-01T12:00:38Z
4333300.935399779,3409542.614611176,2024-09-01T13:00:07Z
4333299.599748929,3409549.288220307,2024-09-01T14:00:11Z
4333296.972043929,3409545.9429280115,2024-09-01T15:00:38Z
4333261.480213631,3409760.6300880127,2024-09-01T16:00:14Z
4333863.053314765,3410545.6535641393,2024-09-01T17:00:27Z
4333859.078242356,3410553.432750293,2024-09-01T18:00:37Z
4334257.378181895,3411389.1540487316,2024-09-01T19:00:15Z
4334965.767038854,3413123.870974864,2024-09-01T20:00:22Z
4335460.322085885,3414643.263083237,2024-09-01T21:02:06Z
4334018.681257494,3415503.7887434643,2024-09-01T22:00:36Z
4332988.115212033,3417710.077939489,2024-09-01T23:00:14Z
4331357.101277039,3419162.9633535543,2024-09-02T00:00:36Z
4330018.016120363,3420812.808542277,2024-09-02T01:00:09Z
4327569.495452623,3422134.1931231557,2024-09-02T02:01:09Z
4325453.166096083,3423182.262962852,2024-09-02T03:00:56Z
4325007.223380429,3425912.77306438,2024-09-02T04:00:36Z
4325249.613716761,3426608.5077709495,2024-09-02T05:00:38Z
4325245.654257399,3426629.648173339,2024-09-02T06:00:36Z
4325247.643567291,3426608.5060107578,2024-09-02T07:00:17Z
4325251.573767762,3426619.6379119204,2024-09-02T08:00:36Z
4325246.340220289,3426597.376457785,2024-09-02T09:00:13Z
4325258.806736043,3426609.6288339677,2024-09-02T10:00:39Z
4325245.030817329,3426592.9239331456,2024-09-02T11:00:38Z
4325252.243612723,3426605.1716051567,2024-09-02T12:00:36Z
4325336.403288855,3426497.302229388,2024-09-02T13:00:36Z
4325249.6228011595,3426598.4922289834,2024-09-02T14:00:18Z
4325248.9570002705,3426608.5071841283,2024-09-02T15:00:38Z
4325254.864416795,3426611.8509827727,2024-09-02T16:00:10Z
4325247.632469272,3426620.747228727,2024-09-02T17:00:26Z
4324955.471424268,3426529.242454418,2024-09-02T18:02:36Z
4323678.856374476,3427565.5175257865,2024-09-02T19:00:36Z
4323245.836630777,3428257.478818533,2024-09-02T20:00:18Z
4323718.372350825,3428488.0831473563,2024-09-02T21:00:36Z
4323763.571715179,3428650.583646375,2024-09-02T22:00:09Z
4323796.976532234,3428773.0154320537,2024-09-02T23:00:36Z
4323787.7774726525,3428788.589767835,2024-09-03T00:00:10Z
4323752.377075865,3428710.6704345,2024-09-03T01:00:36Z
4323596.167807595,3428676.0845473707,2024-09-03T02:00:14Z
4323411.820242127,3428465.660944628,2024-09-03T03:01:12Z
4323408.528230337,3428484.5775306034,2024-09-03T04:00:38Z
4323406.597761405,3428408.9035319653,2024-09-03T05:00:19Z
4323323.250004724,3428362.122845588,2024-09-03T06:00:37Z
4323317.338464178,3428368.796991133,2024-09-03T07:00:11Z
4323336.379973854,3428361.0164425694,2024-09-03T08:00:18Z
4323403.932484332,3428485.68804264,2024-09-03T09:00:37Z
4323421.645214805,3428507.953804666,2024-09-03T10:03:00Z
4323429.516266401,3428520.1990452837,2024-09-03T11:00:16Z
4323447.888680539,3428535.7882112,2024-09-03T12:00:39Z
4323449.2068119645,3428525.7733432995,2024-09-03T13:00:38Z
4323455.11425824,3428526.8892294928,2024-09-03T14:00:10Z
4323454.458977303,3428524.663213971,2024-09-03T15:00:35Z
4323447.238050323,3428524.6594907013,2024-09-03T16:00:36Z
4323446.581602415,3428524.659152766,2024-09-03T17:00:36Z
4323386.200870955,3428500.1460090014,2024-09-03T18:00:14Z
4324180.798989916,3429036.9995634425,2024-09-03T19:01:06Z
4323946.000506144,3428744.1716615297,2024-09-03T20:00:37Z
4323857.465688904,3428610.5769769144,2024-09-03T21:00:09Z
4323860.178439725,3428468.135266593,2024-09-03T22:00:36Z
4323892.49737303,3428221.1046509584,2024-09-03T23:00:09Z
4323860.349732241,3428187.700039669,2024-09-04T00:00:14Z
4323632.644131129,3428012.852820511,2024-09-04T01:00:38Z
4324103.023580765,3428533.94507791,2024-09-04T02:00:09Z
4323871.639799776,3427976.2675097506,2024-09-04T03:01:07Z
4323830.941317409,3427966.2275517653,2024-09-04T04:00:37Z
4323602.602536017,3427727.94960337,2024-09-04T05:00:36Z
4323613.116802766,3427711.262792302,2024-09-04T06:00:36Z
4323589.475650975,3427720.152565262,2024-09-04T07:00:36Z
4323592.76399883,3427710.138810333,2024-09-04T08:00:11Z
4323590.135904196,3427713.4758934947,2024-09-04T09:00:38Z
4323586.186702665,3427731.2791607045,2024-09-04T10:00:12Z
4323591.449643178,3427712.363770847,2024-09-04T11:00:32Z
4323591.450874646,3427710.138094375,2024-09-04T12:00:12Z
4323611.809264026,3427701.246526598,2024-09-04T13:00:36Z
4323589.479957839,3427712.3626975906,2024-09-04T14:00:38Z
4323592.099430163,3427724.6053494033,2024-09-04T15:00:11Z
4323580.281962087,3427723.4860822507,2024-09-04T16:00:14Z
4323594.725670419,3427724.606782041,2024-09-04T17:00:38Z
4323772.625117428,3427772.5592652764,2024-09-04T18:00:13Z
4323771.888868428,3427907.212306609,2024-09-04T19:00:20Z
4323723.858937663,3428084.1258802535,2024-09-04T20:01:30Z
4323711.398784423,3428060.749146558,2024-09-04T21:00:37Z
4323771.6484582685,3428313.398254946,2024-09-04T22:00:36Z
4323767.715512745,3428303.380415964,2024-09-04T23:00:12Z
4323609.95524905,3428671.6407440044,2024-09-05T00:00:16Z
4323601.420457577,3428673.8617422218,2024-09-05T01:01:36Z
4323080.961375848,3428476.6329655703,2024-09-05T02:00:37Z
4323354.641400488,3428599.1728998185,2024-09-05T03:00:43Z
4323271.2938151285,3428557.957315664,2024-09-05T04:00:36Z
4323439.372849969,3428501.2858382594,2024-09-05T05:00:13Z
4323435.4347216645,3428500.1709802756,2024-09-05T06:00:54Z
4323437.387856067,3428531.331460681,2024-09-05T07:00:14Z
4323430.184843603,3428496.8297776286,2024-09-05T08:00:40Z
4323443.305750317,3428512.4162437264,2024-09-05T09:00:36Z
4323429.5226178,3428507.9578245427,2024-09-05T10:00:20Z
4323424.924584516,3428513.519669272,2024-09-05T11:00:37Z
4323434.775377087,3428505.734835214,2024-09-05T12:02:30Z
4323439.368791792,3428509.075705995,2024-09-05T13:00:17Z
4323438.057050463,3428506.8493558886,2024-09-05T14:01:40Z
4323345.551613348,3428398.857469611,2024-09-05T15:00:36Z
4323404.586080353,3428491.2525659464,2024-09-05T16:00:38Z
4323416.387295729,3428520.192352758,2024-09-05T17:01:30Z
4323445.275099189,3428512.417256446,2024-09-05T18:00:36Z
4323371.098545411,3428507.9283211064,2024-09-05T19:00:38Z
4323655.935459015,3428618.249963236,2024-09-05T20:00:37Z
4323573.195320162,3428671.620700706,2024-09-05T21:00:18Z
4323579.715447283,3428751.748611621,2024-09-05T22:00:38Z
4323566.587125881,3428751.7415041723,2024-09-05T23:00:36Z
4323581.698808457,3428726.1544015747,2024-09-06T00:00:09Z
4323577.79092395,3428670.5103523405,2024-09-06T01:00:36Z
4323342.237000144,3428463.4004700775,2024-09-06T02:01:06Z
4323367.179534098,3428468.977019,2024-09-06T03:00:36Z
4323384.899870851,3428476.7757467483,2024-09-06T04:00:17Z
4323430.834940586,3428509.0713340403,2024-09-06T05:00:37Z
4323424.268135047,3428513.5193344187,2024-09-06T06:00:14Z
4323432.8054472245,3428506.8466650913,2024-09-06T07:00:38Z
4323434.128182383,3428487.929087022,2024-09-06T08:00:45Z
4323430.179068049,3428507.958160122,2024-09-06T09:00:54Z
4323417.705364123,3428510.177476125,2024-09-06T10:00:17Z
4323425.585069231,3428505.7301364713,2024-09-06T11:00:37Z
4323438.719296701,3428495.7213101657,2024-09-06T12:00:39Z
4323425.584492767,3428506.8429747187,2024-09-06T13:00:36Z
4323434.774219791,3428507.9605117133,2024-09-06T14:00:36Z
4323432.803134506,3428511.2980180862,2024-09-06T15:00:18Z
4323434.774219791,3428507.9605117133,2024-09-06T16:00:36Z
4323434.768433312,3428519.088894199,2024-09-06T17:00:11Z
4323329.138867657,3428401.0750760804,2024-09-06T18:00:39Z
4323457.062578674,3428566.952423948,2024-09-06T19:00:11Z
4323581.719057436,3428689.4307399695,2024-09-06T20:00:11Z
4323544.915717574,3428769.5352679077,2024-09-06T21:00:38Z
4323596.684130084,3428928.699183638,2024-09-06T22:00:12Z
4323575.7708288245,3428762.874857884,2024-09-06T23:00:11Z
4323590.215026207,3428757.318514837,2024-09-07T00:01:26Z
4323930.816532326,3428882.1542628994,2024-09-07T01:00:36Z
4323923.664951466,3428771.9788352344,2024-09-07T02:00:36Z
4323926.947713286,3428770.8680170844,2024-09-07T03:00:10Z
4323430.827430329,3428523.53823127,2024-09-07T04:00:19Z
4323436.083646529,3428514.6382139,2024-09-07T05:01:57Z
4323433.459584286,3428511.2983541186,2024-09-07T06:00:54Z
4323429.5231952,3428506.8449862893,2024-09-07T07:00:36Z
4323451.18664109,3428505.7432700223,2024-09-07T08:00:18Z
4323425.582763377,3428510.1814894723,2024-09-07T09:00:35Z
4323435.429512433,3428510.186524515,2024-09-07T10:00:13Z
4323335.063702594,3428367.692826966,2024-09-07T11:00:54Z
4323621.797244235,3427451.9761826107,2024-09-07T12:02:30Z
4323586.849408221,3427720.1511355247,2024-09-07T13:00:14Z
4323597.999211308,3427741.301148432,2024-09-07T14:00:38Z
4323592.101893726,3427720.15399645,2024-09-07T15:00:09Z
4323581.59385574,3427725.7124715964,2024-09-07T16:00:13Z
4323589.480573104,3427711.249859361,2024-09-07T17:00:38Z
4323624.283343906,3427702.366234494,2024-09-07T18:00:11Z
4323889.094766434,3428415.849339506,2024-09-07T19:00:17Z
4323741.224419972,3428699.53560336,2024-09-07T20:00:37Z
4323581.021531448,3428763.9905448942,2024-09-07T21:00:38Z
4323734.690733967,3428647.2284260215,2024-09-07T22:00:10Z
4323577.113671073,3428708.346496237,2024-09-07T23:00:36Z
4323562.607820728,3428826.299540528,2024-09-08T00:00:09Z
4323565.794708717,3428999.9040750647,2024-09-08T01:00:38Z
4323541.5140382955,3428989.8754817424,2024-09-08T02:00:09Z
4323525.754249875,3429002.10830427,2024-09-08T03:00:38Z
4323539.583522814,3428918.6527822954,2024-09-08T04:00:11Z
4323428.209717302,3428507.9571536565,2024-09-08T05:00:36Z
4323424.927466054,3428507.9554780284,2024-09-08T06:00:20Z
4323423.615717546,3428505.72913191,2024-09-08T07:00:27Z
4323422.306846204,3428497.9385949094,2024-09-08T08:00:37Z
4323429.5226178,3428507.9578245427,2024-09-08T09:00:16Z
4323430.17329249,3428519.086542613,2024-09-08T10:00:39Z
4323430.173870047,3428517.9737043576,2024-09-08T11:00:38Z
4323430.834940586,3428509.0713340403,2024-09-08T12:00:36Z
4323411.883865315,3428342.135898661,2024-09-08T13:00:36Z
4323399.401175222,3428361.047836527,2024-09-08T14:00:18Z
4323413.844107449,3428359.9423103947,2024-09-08T15:00:36Z
4323414.508037891,3428345.475746532,2024-09-08T16:00:38Z
4323294.991767154,3428423.3152371394,2024-09-08T17:00:12Z
4323306.813019237,3428413.3054126245,2024-09-08T18:00:50Z
4323602.771045795,3428605.979328986,2024-09-08T19:00:12Z
4323495.678767483,3428780.6375447856,2024-09-08T20:00:36Z
4323618.476979469,3428692.7893638797,2024-09-08T21:00:36Z
4323540.976028243,3428771.7588371714,2024-09-08T22:00:38Z
4323548.195968498,3428772.875541104,2024-09-08T23:00:09Z
4323525.868917571,3428789.556201555,2024-09-09T00:00:31Z
4323533.023810608,3428910.8594118077,2024-09-09T01:00:10Z
4323573.773445359,3428814.064349687,2024-09-09T02:00:38Z
4323694.04901385,3428548.162582548,2024-09-09T03:00:10Z
4323240.44364509,3428552.378481416,2024-09-09T04:00:32Z
4323200.598755185,3428130.594069786,2024-09-09T05:00:38Z
4323201.314367128,3428004.8436485906,2024-09-09T06:01:30Z
4323173.753924009,3427975.897164811,2024-09-09T07:00:12Z
4323164.570805763,3427958.0875583393,2024-09-09T08:00:36Z
4323146.194669988,3427943.612325988,2024-09-09T09:00:11Z
4323505.466242578,3427663.3527826355,2024-09-09T10:00:40Z
4323599.311709146,3427742.414704432,2024-09-09T11:00:36Z
4323580.947720882,3427706.7938650525,2024-09-09T12:00:21Z
4323589.481803636,3427709.0241828756,2024-09-09T13:00:36Z
4323586.199606881,3427707.909557691,2024-09-09T14:00:36Z
4323599.336413407,3427697.9011749513,2024-09-09T15:00:12Z
4323578.3435246935,3427666.7302634027,2024-09-09T16:00:16Z
4323695.1178824175,3427831.495139138,2024-09-09T17:00:54Z
4323705.492096653,3428057.407265446,2024-09-09T18:00:38Z
4323522.68279392,3428611.500340546,2024-09-09T19:00:11Z
4323495.679360654,3428779.5247065504,2024-09-09T20:00:37Z
4323486.488999193,3428780.632728245,2024-09-09T21:00:38Z
4323542.261663548,3428821.8372597266,2024-09-09T22:00:11Z
4323475.275279419,3428884.12085984,2024-09-09T23:00:13Z
4323462.728798039,3429026.5576756643,2024-09-10T00:00:37Z
4323639.505769466,3428651.625968204,2024-09-10T01:00:12Z
4323726.1487115575,3428661.690420621,2024-09-10T02:00:11Z
4323719.588302812,3428655.0096308463,2024-09-10T03:00:38Z
4323340.859551825,3428592.489061221,2024-09-10T04:00:09Z
4322940.558017982,3428288.5038670115,2024-09-10T05:00:41Z
4323325.1846037535,3428432.232618992,2024-09-10T06:00:38Z
4323323.218533885,3428425.554626471,2024-09-10T07:00:17Z
4323314.681229886,3428432.2274926268,2024-09-10T08:00:37Z
4323313.366658806,3428435.5653682444,2024-09-10T09:00:11Z
4323310.73422731,3428448.918150152,2024-09-10T10:00:38Z
4323323.873891132,3428427.780623882,2024-09-10T11:00:11Z
4323314.022569267,3428436.6785260444,2024-09-10T12:00:38Z
4323320.590480683,3428430.0046968274,2024-09-10T13:00:12Z
4323320.58882619,3428433.3432116085,2024-09-10T14:00:38Z
4323318.615035817,3428442.244956642,2024-09-10T15:00:10Z
4323319.275904769,3428433.342570813,2024-09-10T16:00:38Z
4323319.273148838,3428438.906762118,2024-09-10T17:00:15Z
4323342.904592706,3428441.1440284345,2024-09-10T18:00:38Z
4323104.047790741,3428230.70581955,2024-09-10T19:01:08Z
4323317.960779851,3428437.7932834257,2024-09-10T20:00:45Z
4323326.497525486,3428432.23326142,2024-09-10T21:00:36Z
4323339.053661227,3428265.313643579,2024-09-10T22:01:36Z
4323297.594135977,3428471.168550989,2024-09-10T23:00:36Z
4323302.864386983,3428433.334591467,2024-09-11T00:00:26Z
4323287.720663521,3428525.6928764055,2024-09-11T01:00:38Z
4323287.716313904,3428534.5955825103,2024-09-11T02:00:12Z
4323270.646545882,3428539.0387515277,2024-09-11T03:00:38Z
4322777.101844571,3428268.408855432,2024-09-11T04:00:36Z
4323156.67607854,3427993.6948026083,2024-09-11T05:01:30Z
4322962.408878099,3427842.264603368,2024-09-11T06:00:38Z
4323186.221142549,3427990.3697826876,2024-09-11T07:00:16Z
4323325.1801830325,3428441.135325078,2024-09-11T08:00:38Z
4323424.361470874,3428333.2395378426,2024-09-11T09:00:20Z
4323410.573209789,3428337.6838796446,2024-09-11T10:01:00Z
4323409.911008561,3428348.8119293023,2024-09-11T11:00:22Z
4323408.600925434,3428343.2470725738,2024-09-11T12:00:36Z
4323414.502299859,3428356.604129054,2024-09-11T13:00:25Z
4323419.107948243,3428336.5753769525,2024-09-11T14:00:38Z
4323423.708452048,3428326.5621735617,2024-09-11T15:00:14Z
4323468.355837252,3428313.231085775,2024-09-11T16:00:21Z
4323291.860317789,3428115.0574540123,2024-09-11T17:00:38Z
4323172.3799602315,3428107.211481452,2024-09-11T18:00:20Z
4323128.414765757,3428061.565214255,2024-09-11T19:00:29Z
4323799.72794515,3428562.69055702,2024-09-11T20:00:37Z
4323642.132117843,3428650.514588847,2024-09-11T21:00:10Z
4323727.477774873,3428633.870218441,2024-09-11T22:00:36Z
4323749.772301975,3428675.058091963,2024-09-11T23:00:10Z
4323609.999291046,3428592.6292298045,2024-09-12T00:00:40Z
4323799.696671581,3428614.993952741,2024-09-12T01:00:38Z
4323720.2434394,3428657.2356829154,2024-09-12T02:00:10Z
4323701.904516135,3428586.0035533034,2024-09-12T03:00:38Z
4323345.909207617,3428995.3390984726,2024-09-12T04:00:09Z
4323323.893773093,3428387.718446493,2024-09-12T05:01:02Z
4323021.315270374,3428265.167913054,2024-09-12T06:00:38Z
4322821.747074668,3428257.297371093,2024-09-12T07:00:17Z
4322817.139585623,3428288.4550847514,2024-09-12T09:01:33Z
4322700.311013979,3428219.415874983,2024-09-12T10:00:15Z
4322702.2804860985,3428219.416579859,2024-09-12T11:00:38Z
4322739.052644139,3428196.060282736,2024-09-12T12:00:36Z
4322741.677792286,3428198.2869207766,2024-09-12T13:00:15Z
4322730.518222391,3428196.0571681513,2024-09-12T14:00:38Z
4322728.549151216,3428194.9436132517,2024-09-12T15:00:36Z
4322733.802340357,3428191.6070109927,2024-09-12T16:00:07Z
4322735.768936786,3428199.3975979416,2024-09-12T17:00:12Z
4322769.285002251,3428107.0443616514,2024-09-12T18:00:51Z
4323132.886679784,3428333.0998146557,2024-09-12T19:00:10Z
4323359.24935906,3428573.5798985246,2024-09-12T20:00:36Z
4323718.978400089,3428574.884903745,2024-09-12T21:00:14Z
4323732.102022742,3428583.795137803,2024-09-12T22:00:36Z
4323741.884101721,3428693.971790932,2024-09-12T23:00:09Z
4323749.779490946,3428662.8168716314,2024-09-13T00:00:36Z
4323784.543730735,3428707.3506548074,2024-09-13T01:00:11Z
4323819.397099577,3428602.764373038,2024-09-13T02:00:14Z
4323809.572580521,3428566.034881771,2024-09-13T03:00:37Z
4323665.82189557,3428548.1466674805,2024-09-13T04:00:31Z
4323691.74369227,3427990.629145478,2024-09-13T05:00:12Z
4323748.490020155,3427504.3511485737,2024-09-13T06:00:54Z
4323715.781125583,3427296.231535148,2024-09-13T07:00:36Z
4323709.1891790535,3427340.741318187,2024-09-13T08:00:39Z
4323715.107089425,3427326.277792229,2024-09-13T09:00:13Z
4323696.071633452,3427315.138574205,2024-09-13T10:00:38Z
4323675.012845748,3427397.4767350117,2024-09-13T11:00:36Z
4323691.410729153,3427427.5326311216,2024-09-13T12:01:00Z
4323682.909326559,3427367.4345424618,2024-09-13T13:00:10Z
4323671.064960525,3427411.9414170883,2024-09-13T14:00:36Z
4323678.282512866,3427420.8481860855,2024-09-13T15:00:10Z
4323695.3740328755,3427386.35984848,2024-09-13T16:00:15Z
4323683.541709584,3427409.722765715,2024-09-13T17:00:38Z
4323585.036338639,3427436.376313159,2024-09-13T18:02:30Z
4323776.299880457,3428218.8096885453,2024-09-13T19:02:30Z
4323800.285885655,3428727.390998218,2024-09-13T20:00:39Z
4323762.889675058,3428693.9839549507,2024-09-13T21:00:36Z
4323752.379038372,3428707.3319198657,2024-09-13T22:00:08Z
4323751.748122541,3428663.930849552,2024-09-13T23:00:36Z
4323814.692326576,3428785.2671150193,2024-09-14T00:00:10Z
4323782.589013453,3428682.8670609496,2024-09-14T01:00:10Z
4323785.842670659,3428730.7210264658,2024-09-14T02:01:00Z
4323757.631727561,3428705.1092873486,2024-09-14T03:00:09Z
4323508.925668747,3428559.1896468466,2024-09-14T04:00:35Z
4322732.487704334,3428196.0578855416,2024-09-14T05:00:36Z
4322737.740482082,3428193.834125941,2024-09-14T06:00:16Z
4322687.8324763,3428233.8783278535,2024-09-14T07:00:36Z
4322702.939404908,3428212.7397851106,2024-09-14T08:01:06Z
4322734.455125418,3428201.622795311,2024-09-14T09:00:36Z
4322744.328223075,3428132.6304231393,2024-09-14T10:00:21Z
4322685.844180687,3428286.1810298585,2024-09-14T11:00:36Z
4322681.916484026,3428255.0201616543,2024-09-14T12:01:06Z
4322701.622377903,3428223.867698073,2024-09-14T13:00:17Z
4322694.401389651,3428222.752280209,2024-09-14T14:01:00Z
4322691.747688392,3428299.5371887498,2024-09-14T15:00:31Z
4322723.284502999,3428229.4396941443,2024-09-14T16:00:13Z
4322819.822161101,3428142.674271046,2024-09-14T17:00:36Z
4322994.557712203,3427893.4685536325,2024-09-14T18:01:03Z
4323744.5926394835,3428552.6428533182,2024-09-14T19:00:38Z
4323760.271850877,3428680.628370845,2024-09-14T20:00:11Z
4323811.543243233,3428563.8103698357,2024-09-14T21:00:38Z
4323718.314852687,3428587.1257486604,2024-09-14T22:00:12Z
4323615.8972890405,3428610.437889258,2024-09-14T23:00:14Z
4323212.5099188695,3427931.40150372,2024-09-15T00:03:00Z
4322399.686827163,3428056.8434382225,2024-09-15T01:00:38Z
4322414.158687045,3427962.256454189,2024-09-15T02:00:09Z
4322427.2763343835,3428004.548235146,2024-09-15T03:00:36Z
4322443.029748211,3428014.568537002,2024-09-15T04:00:10Z
4322668.8153228555,3428174.891175199,2024-09-15T05:00:54Z
4322697.712081268,3428144.8547691987,2024-09-15T06:01:06Z
4322718.729512115,3428119.267037167,2024-09-15T07:00:09Z
4322691.156312747,3428119.257147786,2024-09-15T08:01:06Z
4322694.4336020015,3428133.7252148422,2024-09-15T09:01:38Z
4322709.528695885,3428145.971842533,2024-09-15T10:00:38Z
4322712.81567813,3428133.7318026684,2024-09-15T11:01:06Z
4322712.162023465,3428125.94169795,2024-09-15T12:01:06Z
4322813.26188625,3428130.4305409133,2024-09-15T13:00:11Z
4322731.842733665,3428164.898173514,2024-09-15T14:00:38Z
