sto,x,y,wald,wald_max,versiegelt
2220,4313234.209356703,3161620.981561606,10.564560890197754,65,56.89952850341797
2221,4313334.235237071,3161619.613644293,2.4321608543395996,52,65.355377197265625
2222,4313434.261102797,3161618.245731008,4.298409938812256,58,62.691436767578125
2223,4313534.286953848,3161616.877821753,7.0738205909729,70,44.619171142578125
2224,4313634.312790196,3161615.509916528,1.761121153831482,70,0
2225,4313734.33861181,3161614.1420153356,8.298382759094238,77,0
2226,4313834.364418656,3161612.774118172,6.092345714569092,79,0.5482878088951111
2227,4313934.390210708,3161611.4062250396,11.923823356628418,82,0
2228,4314034.415987929,3161610.038335938,0,0,0
2229,4314134.441750295,3161608.6704508695,0,0,0
2230,4314234.467497773,3161607.3025698336,0,0,0
2231,4314334.493230333,3161605.934692828,0,0,0
2232,4314434.51894794,3161604.5668198583,0,0,0
2233,4314534.544650567,3161603.1989509217,10.155139923095703,80,0.07326387614011765
2234,4314634.570338184,3161601.8310860177,78.0244140625,90,0.3375012278556824
2235,4314734.596010759,3161600.46322515,13.601886749267578,89,0
2236,4314834.62166826,3161599.095368317,0,0,0
2237,4314934.64731066,3161597.7275155187,0,0,0
2238,4315034.672937922,3161596.3596667536,0,0,0
2239,4315134.698550025,3161594.9918220257,0,0,0
2240,4315234.72414693,3161593.623981337,0,0,0
2241,4315334.749728607,3161592.2561446833,0,0,0
2242,4315434.77529503,3161590.888312067,15.84287166595459,85,20.14103889465332
2243,4315534.800846163,3161589.5204834873,8.297911643981934,77,45.19374465942383
2244,4315634.82638198,3161588.152658947,0,0,95.285003662109375
2245,4315734.851902449,3161586.784838443,2.024160146713257,58,86.73771667480469
2246,4315834.877407535,3161585.417021983,0,0,91.65071868896484
2247,4315934.902897213,3161584.0492095607,0,0,87.6611557006836
2248,4316034.928371451,3161582.681401177,5.377741813659668,52,68.24241638183594
2249,4316134.953830215,3161581.313596833,9.078721046447754,66,60.927024841308594
2250,4316234.979273478,3161579.9457965316,4.087823390960693,66,75.59767150878906
2251,4316335.004701209,3161578.5780002703,16.81999397277832,69,57.944679260253906
2252,4316435.030113375,3161577.210208048,7.842651844024658,79,62.78021240234375
2253,4316535.055509947,3161575.842419871,11.057048797607422,64,56.270198822021484
